행정동,면적(㎢),총생활인구수,남자15세부터19세생활인구수,남자20세부터24세생활인구수,남자25세부터29세생활인구수,남자30세부터34세생활인구수,남자35세부터39세생활인구수,남자40세부터44세생활인구수,남자45세부터49세생활인구수,남자50세부터54세생활인구수,남자55세부터59세생활인구수,남자60세부터64세생활인구수,남자65세부터69세생활인구수_x,남자70세이상생활인구수_x,여자15세부터19세생활인구수,여자20세부터24세생활인구수,여자25세부터29세생활인구수,여자30세부터34세생활인구수,여자35세부터39세생활인구수,여자40세부터44세생활인구수,여자45세부터49세생활인구수,여자50세부터54세생활인구수,여자55세부터59세생활인구수,여자60세부터64세생활인구수,여자65세부터69세생활인구수_x,여자70세이상생활인구수_x,총 노인 인구수,남자65세부터69세생활인구수_y,남자70세이상생활인구수_y,여자65세부터69세생활인구수_y,여자70세이상생활인구수_y,노인_의료복지시설수,노인_주거복지시설수,장애인_생산품판매시설수,장애인_의료재활시설수,장애인_지역사회재활시설수,장애인_직업재활시설수,노인_여가복지시설수,노인_일자리지원기관수,노인교실수,경로당수,총시설수
갈현1동,0.97,15902.2517,333.2085,451.4377,783.4747,699.8501,677.2435,586.2757,791.9096,589.5841,701.9659,507.6959,419.3896,834.5151,310.875,590.2688,813.9831,760.3116,754.0076,652.2617,703.4942,651.5269,792.5333,633.951,511.8443,1350.6438,3116.3928,419.3896,834.5151,511.8443,1350.6438,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,4.0,10.0
갈현2동,0.96,21940.389,529.9085,664.8383,944.7999,903.8973,881.5054,774.5015,1122.7881,869.0368,972.5122,690.0872,440.0327,1113.5403,564.433,873.9512,1061.4887,903.2041,911.2463,828.3377,1219.6091,1095.9032,1081.4907,996.0743,654.9645,1842.238,4050.7755,440.0327,1113.5403,654.9645,1842.238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0
구산동,1.38,25139.3149,686.5545,641.0569,814.7106,807.8187,991.1528,930.589,1007.9267,1045.2229,1147.9013,877.1833,612.1211,1406.8173,754.9166,914.4849,1031.8169,928.5863,1125.4613,1085.4936,1328.9409,1334.7217,1339.4164,1144.3822,837.626,2344.413,5200.9774,612.1211,1406.8173,837.626,2344.413,2.0,0.0,0.0,1.0,4.0,3.0,1.0,0.0,1.0,10.0,22.0
대조동,0.85,49968.6675,1317.518,1187.5695,1735.6318,2112.9004,2548.9572,2342.0602,2516.7119,2019.8402,1792.5101,1384.7024,1031.5957,1941.6664,1486.7078,1798.8669,2760.6172,2821.535,2996.3119,2624.4233,2448.8544,2149.887,2182.4241,1833.0919,1375.8722,3558.412,7907.5463,1031.5957,1941.6664,1375.8722,3558.412,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,4.0,9.0
응암1동,1.2,21503.5119,592.1278,612.8379,663.4177,792.2987,1039.5211,1026.1769,1116.8084,783.3956,834.7888,591.9233,396.5736,900.96,532.7091,879.9293,1126.5939,1022.3947,1371.3164,1182.2619,1098.6748,1022.654,907.6229,862.8817,540.9443,1604.6991,3443.177,396.5736,900.96,540.9443,1604.6991,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0,9.0
응암2동,0.78,16203.1808,462.1906,348.4305,426.524,497.1996,837.9625,918.5591,1050.8552,760.6989,554.2572,446.6983,315.0075,701.4204,454.6567,368.3155,513.8323,618.6394,1084.711,1241.4914,1029.9088,674.9463,704.7616,506.6957,387.1343,1298.284,2701.8462,315.0075,701.4204,387.1343,1298.284,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,11.0,13.0
신사1동,0.84,20894.0022,563.3645,561.3993,788.2998,731.3348,894.9046,837.0108,962.976,857.7337,826.1993,661.5241,544.4083,983.9367,492.2842,728.6063,891.3066,996.8114,1058.1961,1021.9268,1051.3754,1014.7429,1110.5516,909.1754,714.3576,1691.576,3934.2786,544.4083,983.9367,714.3576,1691.576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
신사2동,1.0,15205.9287,483.5207,382.5314,512.5012,529.3343,662.4731,615.5565,710.6496,580.7478,590.1358,472.8637,433.0414,849.3649,339.7351,460.2015,632.0016,705.1636,768.7991,627.5019,731.4303,693.3448,771.6031,713.0357,540.2153,1400.1763,3222.7979,433.0414,849.3649,540.2153,1400.1763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
증산동,0.81,11291.0113,284.564,308.4751,369.3063,393.911,562.2212,491.4552,516.9674,548.7099,517.4195,356.9333,249.5503,551.0742,315.1392,373.5143,494.8601,482.3193,570.4102,544.3386,539.4255,581.8718,587.4644,477.0484,358.6952,815.3369,1974.6566,249.5503,551.0742,358.6952,815.3369,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,10.0,15.0
수색동,1.29,14594.5774,342.0729,381.615,426.1528,538.8617,972.0367,631.2719,716.7881,694.4321,671.5518,406.0844,282.4035,595.0203,269.8302,495.5025,594.4972,795.8329,1037.3604,744.6923,721.2309,844.1844,661.6981,512.7023,378.1844,880.5706,2136.1788,282.4035,595.0203,378.1844,880.5706,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,12.0
진관동,11.53,48780.2999,2271.3576,1601.7774,1276.4209,1247.3899,1570.0405,1857.1014,2249.2867,2571.4881,1966.8775,1369.4062,1107.5141,2401.8372,2076.3272,1730.6657,2039.2385,1704.8947,2165.0326,2473.0655,3304.9823,2532.0875,2146.1716,1650.6261,1397.4954,4069.2153,8976.062,1107.5141,2401.8372,1397.4954,4069.2153,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,39.0,43.0
불광2동,1.38,19509.6445,414.1137,447.4608,749.5867,727.3806,808.8024,709.1298,825.4593,741.6428,953.2836,707.1164,617.1449,1102.578,353.514,699.8759,906.9579,861.5961,811.5967,668.7388,883.2147,901.7983,1071.0786,905.9646,714.9177,1926.6922,4361.3328,617.1449,1102.578,714.9177,1926.6922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,9.0
응암3동,0.63,21913.5967,460.0538,783.5542,853.7897,768.7507,942.0589,934.0091,1144.0858,986.2134,824.0239,681.0574,445.507,1056.3674,494.1348,836.3771,1042.564,910.6474,1093.1073,938.2302,1168.9802,997.263,971.1655,865.3698,710.3043,2005.9818,4218.1605,445.507,1056.3674,710.3043,2005.9818,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,2.0,7.0
역촌동,1.16,39125.6869,932.4445,870.9795,1399.9745,1324.5707,1658.9426,1610.3675,1876.1715,1680.5688,1609.9335,1277.8741,859.8856,1861.6155,1002.4966,1404.2926,1955.0955,1656.0822,2027.8343,1907.6678,1975.0519,1781.3154,2038.8767,1793.6378,1225.0314,3394.9764,7341.5089,859.8856,1861.6155,1225.0314,3394.9764,3.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,3.0,4.0,16.0
천연동,0.97,14400.2502,764.4312,490.7662,423.8746,418.2328,503.788,575.1961,673.348,747.6471,675.8047,439.6591,294.6516,661.3292,518.4805,492.4273,463.7367,524.0278,688.4176,681.5306,768.071,691.9454,689.0602,652.0623,356.895,1204.8672,2517.743,294.6516,661.3292,356.895,1204.8672,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,10.0,14.0
홍제1동,1.23,22610.8004,692.4921,712.9353,677.1118,681.0155,980.8761,882.8999,864.8471,972.6866,981.9772,774.7168,540.7336,1186.6068,701.9551,1057.0053,812.7341,923.9079,1014.2605,1000.6414,1060.0559,1002.6444,1128.5086,958.6375,830.1834,2171.3675,4728.8913,540.7336,1186.6068,830.1834,2171.3675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
홍제2동,1.05,11836.0883,205.7531,296.8356,303.8886,372.1962,602.0476,534.4084,496.8215,403.501,598.1285,387.0872,269.7248,611.5591,303.7485,444.9344,386.1038,484.0242,742.5976,549.601,530.6656,605.5079,645.7249,532.3234,425.421,1103.4844,2410.1893,269.7248,611.5591,425.421,1103.4844,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,8.0,10.0
홍제3동,0.81,13826.9938,304.949,424.6019,466.5291,443.9895,529.3176,523.5718,636.6417,542.8957,620.2416,501.5465,328.3713,818.8007,425.6281,433.7949,515.606,500.1018,686.1511,558.2512,642.2059,667.6784,695.1019,583.4943,458.5782,1518.9456,3124.6958,328.3713,818.8007,458.5782,1518.9456,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,10.0,13.0
홍은1동,1.58,15631.2172,345.1069,430.6123,480.7003,485.6197,731.9872,749.0203,629.2439,608.2925,626.9276,601.7637,431.4337,805.8361,478.6823,566.4331,585.8791,654.655,853.7348,656.6427,776.6639,695.8973,861.1802,719.7873,570.8458,1284.2715,3092.3871,431.4337,805.8361,570.8458,1284.2715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
홍은2동,2.06,21459.9207,726.3653,897.6433,726.0761,623.3586,921.1715,810.1753,903.7664,872.914,872.7008,655.843,532.4725,1016.2856,652.7432,1059.504,943.5814,789.8547,894.5851,957.572,1058.9992,901.6293,1051.3253,948.9215,698.4744,1943.9582,4191.1907,532.4725,1016.2856,698.4744,1943.9582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
남가좌1동,0.51,8056.6528,287.1357,198.2753,181.4157,194.9506,418.0865,461.0942,563.7757,353.7591,273.105,216.2293,152.1973,268.9112,309.3851,325.3746,260.001,277.0156,570.7956,580.1098,515.9226,387.2673,318.8505,237.9886,191.6111,513.3954,1126.115,152.1973,268.9112,191.6111,513.3954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
남가좌2동,0.77,20084.8918,694.9124,1311.3213,850.3749,585.166,762.8003,860.8346,951.2037,691.5814,681.9998,503.4273,376.804,680.0252,787.4874,1665.8107,886.803,783.3189,1065.438,913.7393,833.7488,799.8832,815.808,632.7908,452.4315,1497.1813,3006.442,376.804,680.0252,452.4315,1497.1813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0
북가좌1동,0.55,13113.4195,512.4743,282.9551,264.4484,320.4852,583.9886,580.3551,792.4324,728.8127,528.2381,398.4755,311.0047,573.7013,403.4208,392.8454,393.2541,471.5982,761.4344,751.8484,813.9176,697.4326,667.4399,524.5912,349.4363,1008.8292,2242.9715,311.0047,573.7013,349.4363,1008.8292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0
북가좌2동,0.84,25390.6815,640.3461,798.0599,961.1533,952.0745,1046.2037,1075.302,1176.1262,999.2444,1139.7192,763.6376,530.1698,1270.9048,655.6345,1215.1524,1270.1347,1058.7511,1204.8008,1097.3295,1114.4794,1166.9543,1134.1831,1050.0564,812.7517,2257.5121,4871.3384,530.1698,1270.9048,812.7517,2257.5121,4.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,8.0,16.0
충현동,1.12,27509.0741,621.5339,727.9629,861.5653,1171.1142,1305.7688,1235.1841,1438.8173,1168.6476,1136.6226,764.4575,528.2533,1134.5827,1135.2701,1736.3413,1421.7766,1285.4029,1468.2006,1319.1642,1373.7454,1151.8257,1177.3173,926.6744,605.4469,1813.3985,4081.6814,528.2533,1134.5827,605.4469,1813.3985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
북아현동,0.46,43792.0299,806.5035,1069.0968,1482.482,1807.0671,2510.1373,2718.4661,2839.5412,2200.7553,1890.0214,1210.8965,732.9285,1270.746,928.7147,2344.7475,2049.3336,1986.1075,2756.0147,2261.6071,2600.8156,1946.7862,1789.8418,1355.3576,872.5996,2361.4623,5237.7364,732.9285,1270.746,872.5996,2361.4623,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,2.0,9.0,16.0
신촌동,2.63,50550.4575,1500.5362,4878.815,3435.764,1776.6886,1538.9788,1142.0454,983.6002,971.8749,848.5709,613.5172,410.0014,835.6284,3875.2819,12219.9831,5453.9766,1996.1659,1556.1778,1099.8377,1010.1812,1021.9764,875.0549,623.3367,537.5533,1344.911,3128.0941,410.0014,835.6284,537.5533,1344.911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,6.0
연희동,3.05,37468.4347,983.9869,2546.9596,2182.5626,1337.5202,1359.3327,1384.7279,1429.436,1157.6236,1248.0799,835.0628,625.8717,1313.9283,1076.1364,4187.8733,2736.4777,1645.1233,1784.242,1447.1173,1530.9669,1327.4505,1371.0834,1096.674,726.0745,2134.1232,4799.9977,625.8717,1313.9283,726.0745,2134.1232,5.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0,9.0,21.0
용강동,0.84,21430.6874,671.4636,500.7579,633.4295,839.2066,1231.5147,1321.7571,1305.7162,974.8084,915.6955,525.9672,390.766,737.9767,511.8246,589.4145,787.6394,999.1308,1405.6615,1404.3607,1389.8251,1016.2845,837.3539,596.9076,513.4118,1329.8136,2971.9681,390.766,737.9767,513.4118,1329.8136,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,5.0
대흥동,0.87,18171.8182,636.3911,1247.9198,1186.6337,717.6689,691.3065,672.6243,705.1235,667.1836,519.6212,275.6736,177.2969,494.8552,741.4315,2541.5743,1447.5534,867.7775,824.2111,600.464,731.4941,520.7416,447.6854,343.9448,255.6993,856.9429,1784.7943,177.2969,494.8552,255.6993,856.9429,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,9.0,12.0
염리동,0.44,16621.8986,417.2132,505.915,632.7627,600.3962,886.3907,888.5951,962.692,802.4025,632.021,420.1241,252.1724,564.5174,610.0682,840.1977,769.6833,845.0262,1058.653,1077.1617,945.3652,685.2121,618.4288,462.8643,328.1533,815.8825,1960.7256,252.1724,564.5174,328.1533,815.8825,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,8.0,12.0
신수동,0.78,15277.3507,508.8774,772.5014,738.6934,578.836,738.4288,615.2023,645.2758,630.11,633.1167,378.9421,331.194,658.5457,365.7663,773.5621,706.1245,616.7303,821.7624,685.1128,902.2354,708.6978,646.281,451.5412,353.7514,1016.0619,2359.553,331.194,658.5457,353.7514,1016.0619,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,15.0,17.0
서교동,1.65,52122.3877,1882.5517,4306.1462,3786.644,2665.7014,2609.399,2434.1306,2153.3157,1613.9434,1166.7687,739.747,459.9947,966.9262,2356.685,6363.3012,4311.4272,2741.6356,2618.344,1647.5126,1653.3382,1338.6344,1203.5356,940.2598,603.4233,1559.0222,3589.3664,459.9947,966.9262,603.4233,1559.0222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0
합정동,1.72,14731.1186,190.0384,498.7661,904.3609,908.0491,908.6699,819.5016,741.5982,505.5469,457.3752,292.852,207.4504,474.405,291.9068,757.8356,1169.4877,1105.5994,1010.9753,683.8703,561.115,501.9149,450.6842,306.1999,333.4329,649.4829,1664.7712,207.4504,474.405,333.4329,649.4829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0
망원1동,1.13,20015.0096,306.7291,592.3344,947.3542,1247.5381,1133.0627,860.864,877.6556,816.7894,629.38,510.5358,296.529,794.5983,420.118,834.0921,1379.1732,1204.0721,1216.3809,1008.1285,1072.6547,765.8512,707.7941,548.1863,403.1678,1442.0201,2936.3152,296.529,794.5983,403.1678,1442.0201,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,6.0
망원2동,0.67,15256.7503,265.4847,342.4106,568.3576,674.3672,770.1359,586.5357,736.8331,637.8543,670.1858,388.6699,256.6404,616.6952,370.7071,674.8522,812.0251,864.5103,906.4294,768.5685,824.3206,754.0018,684.1951,513.2738,336.781,1232.915,2443.0316,256.6404,616.6952,336.781,1232.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
연남동,0.64,16131.3029,265.4122,613.9641,969.5413,816.6874,866.0277,671.5797,687.9572,494.8353,458.9231,267.8757,230.433,565.9231,322.2691,1376.1211,1305.9096,890.215,1041.68,696.2031,713.0855,636.8877,556.2615,400.7577,331.1252,951.6276,2079.1089,230.433,565.9231,331.1252,951.6276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
성산1동,0.8,19578.6113,340.1731,593.2638,841.3201,930.0145,925.37,826.1581,1185.9486,854.5396,654.702,445.1764,301.7458,509.4035,497.435,938.6887,1123.9224,1206.4999,1289.893,1001.1201,1172.7801,971.5856,762.8996,563.145,425.3597,1217.4667,2453.9757,301.7458,509.4035,425.3597,1217.4667,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,4.0,7.0
성산2동,2.07,31522.5584,626.3239,821.8991,1133.4643,1447.3354,1503.1977,1260.2119,1447.5868,1248.4322,1070.0695,778.2744,592.4395,1163.3658,812.6117,1724.3069,2232.3526,2025.9241,1990.4083,1747.5469,1588.8384,1442.0288,1392.9395,974.0764,687.1482,1811.7761,4254.7296,592.4395,1163.3658,687.1482,1811.7761,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,20.0,23.0
상암동,8.4,33982.6547,986.9749,914.4692,1282.7474,1239.5806,1573.3292,1744.1597,2185.9815,1733.6665,1524.7315,917.4679,607.6377,1214.426,1071.2384,1359.2856,1819.4627,1456.2042,1868.5509,1711.0296,2063.7828,1636.9145,1303.3128,900.529,702.3756,2164.7965,4689.2358,607.6377,1214.426,702.3756,2164.7965,0.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,16.0,23.0
도화동,0.62,13620.8287,357.1743,243.2973,481.2572,543.5333,854.5007,677.1285,704.3364,523.2254,540.2425,452.433,283.3614,662.0042,405.4971,555.0798,607.8339,747.4856,774.5675,668.9926,604.5076,517.8808,541.8367,519.0111,377.4558,978.186,2301.0074,283.3614,662.0042,377.4558,978.186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0
서강동,1.45,26549.4566,1049.2551,1936.5522,1405.598,1017.4117,1108.208,1185.6824,1005.6695,940.275,813.8177,559.1559,402.087,837.5433,1074.9566,2497.8798,1567.8351,1141.6392,1353.1917,1092.1662,1222.4302,1000.8189,846.2599,613.4786,499.0525,1378.4921,3117.1749,402.087,837.5433,499.0525,1378.4921,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,13.0,15.0
공덕동,1.01,32442.3239,632.3377,708.1239,1176.8295,1351.0657,1696.7597,1617.7418,1513.8638,1292.538,1310.7544,1028.7494,662.911,1330.2647,677.5953,1552.4177,1808.6158,1900.761,2121.4357,1646.2387,1601.3031,1409.7004,1475.3839,1196.4132,799.5181,1931.0014,4723.6952,662.911,1330.2647,799.5181,1931.0014,2.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,24.0,31.0
아현동,0.76,22241.8032,537.285,397.4594,559.2005,822.6326,1153.2257,1340.4607,1205.7664,1017.5652,842.6543,571.9509,375.3645,776.7091,673.7095,837.0411,871.2006,1081.8562,1613.8325,1477.1164,1374.5991,979.7784,927.6953,682.9848,593.0361,1528.6789,3273.7886,375.3645,776.7091,593.0361,1528.6789,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,9.0,12.0
목1동,1.41,24953.1765,1337.8353,554.8046,601.8645,565.2153,764.4309,1394.2814,1926.6645,1519.2751,983.0884,666.7546,379.0511,987.0208,1187.9728,662.8798,720.1943,624.5016,1094.422,1775.6163,2015.4207,1245.3396,1025.0976,746.1701,567.9117,1607.3635,3541.3471,379.0511,987.0208,567.9117,1607.3635,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,12.0,14.0
목2동,1.03,20693.558,567.2665,488.0513,870.4406,1013.3682,1092.7289,830.0704,939.2249,737.4786,763.1536,647.2927,418.2598,937.9998,420.2088,672.7962,1179.5315,1199.8452,1283.6097,1027.719,976.7506,833.0167,958.2697,769.5109,557.0809,1509.8835,3423.224,418.2598,937.9998,557.0809,1509.8835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,13.0
목3동,0.53,16857.8259,454.9048,450.488,619.5347,742.5822,837.5825,741.8946,712.8739,592.5126,636.4198,479.0947,420.0789,845.4451,344.2581,539.8554,837.9002,924.9529,1029.7611,763.5668,808.1828,698.4196,765.5692,656.9943,536.59,1418.3637,3220.4777,420.0789,845.4451,536.59,1418.3637,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,5.0,11.0
목4동,0.57,17465.4161,957.9206,577.6463,591.418,540.1994,577.8996,596.5193,954.948,819.0489,846.2208,554.5431,306.2342,663.8378,713.7811,780.5173,738.603,615.1949,734.5464,676.7538,1085.1051,1029.5748,915.9394,613.561,406.5287,1168.8746,2545.4753,306.2342,663.8378,406.5287,1168.8746,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,6.0
목5동,1.81,34958.9583,2539.4252,824.3584,723.5205,575.2002,924.8133,1657.3891,2416.2,1832.9869,1402.1306,873.3935,583.8533,1513.1478,2007.2708,1072.6486,957.2986,724.8585,1316.6243,2564.4793,2996.9997,1779.4644,1354.607,1026.9866,788.3436,2502.9581,5388.3028,583.8533,1513.1478,788.3436,2502.9581,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,9.0,14.0
신월1동,0.65,14259.5494,278.2464,252.9717,481.0903,611.55,718.695,651.305,849.4601,617.9058,617.638,521.1961,383.5157,765.7931,212.5221,428.259,657.8358,589.643,588.5856,551.8124,711.7801,582.2557,604.6041,643.7631,487.5136,1451.6077,3088.4301,383.5157,765.7931,487.5136,1451.6077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0
신월2동,0.61,10944.1007,313.7823,199.8738,318.3489,406.0844,493.2934,527.9366,618.4538,449.4827,430.6484,346.0522,298.0838,604.5424,332.4727,317.1169,390.5399,466.2505,516.3795,514.0235,598.4969,469.6831,554.7569,478.8495,336.0004,962.9482,2201.5748,298.0838,604.5424,336.0004,962.9482,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,10.0,13.0
신월3동,0.87,11032.5232,283.7078,341.7689,436.5327,448.5616,471.382,577.2174,511.1581,513.0923,551.7066,445.8083,323.6233,620.3619,205.4918,315.6575,443.597,376.4405,538.6665,459.63,458.8852,411.8166,514.1844,485.5647,358.9512,938.7169,2241.6533,323.6233,620.3619,358.9512,938.7169,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,7.0
신월4동,0.52,10992.9978,344.1193,282.212,335.7329,386.1242,409.3584,497.7356,622.6245,541.6844,441.1479,352.0377,251.7606,626.2128,342.1358,343.3554,307.6539,327.4823,569.1011,504.3889,654.4156,488.0675,485.0148,447.1454,412.1124,1021.3744,2311.4602,251.7606,626.2128,412.1124,1021.3744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,13.0
신월5동,0.69,10303.7471,299.7849,269.7824,338.4662,460.4181,511.8705,463.7783,522.092,384.1624,439.1489,339.5824,264.0471,520.3216,178.6999,273.4724,414.4937,454.5755,551.439,417.9062,598.695,402.934,487.3334,454.1222,354.6647,901.9563,2040.9897,264.0471,520.3216,354.6647,901.9563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,7.0
신월6동,0.41,2918.1844,78.5244,52.8942,92.2757,103.3947,139.0676,161.9029,134.4453,131.3091,156.7947,112.0964,84.3447,163.0969,55.8472,63.3062,105.331,108.9138,139.1776,119.2745,114.5997,153.3809,138.5549,136.0977,100.2371,273.3172,620.9959,84.3447,163.0969,100.2371,273.3172,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,9.0,11.0
신월7동,1.19,13245.1915,231.7747,236.0057,469.2056,501.9244,617.0812,582.4161,585.912,587.0035,655.5046,526.3858,402.9554,850.388,330.9973,390.6577,464.2905,465.0762,618.8413,490.1039,534.4376,561.6455,662.811,594.9129,538.7684,1346.0922,3138.204,402.9554,850.388,538.7684,1346.0922,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,9.0
신정1동,0.7,13343.262,687.1515,328.7905,365.6927,276.5304,449.75,693.2236,932.4488,703.7822,589.9137,420.1507,296.0593,600.0987,572.322,348.0848,379.5678,310.5456,562.5796,926.326,1018.7241,607.5172,632.3882,433.4437,351.0361,857.1348,2104.3289,296.0593,600.0987,351.0361,857.1348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
신정2동,0.52,13626.0319,855.9534,311.2136,308.9874,278.1911,452.4739,619.393,873.6058,685.8909,564.0258,382.2055,266.0965,638.6365,764.2717,352.3166,375.1371,378.3406,603.7553,866.3289,1086.0593,674.817,603.139,453.5678,335.9864,895.6388,2136.3582,266.0965,638.6365,335.9864,895.6388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,12.0
신정4동,1.01,32579.795,972.8876,951.0097,1359.3407,1407.7749,1435.5747,1538.5404,1832.973,1429.3482,1255.9441,944.5943,721.875,1459.1287,921.9,1282.6947,1519.2431,1491.4454,1434.9329,1387.1735,1600.5677,1467.9039,1471.4722,1063.9904,937.3181,2692.1618,5810.4836,721.875,1459.1287,937.3181,2692.1618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,6.0
신정3동,2.72,35970.3104,1393.7455,938.0275,986.4525,1051.1455,1408.8046,1481.1409,1750.5172,1664.7583,1648.9113,1174.1198,845.9047,1654.2729,1395.2275,1156.0748,1170.8992,1363.6545,1765.1344,1660.5277,1960.6763,1806.5017,1907.8348,1468.0923,1188.5446,3129.3419,6818.0641,845.9047,1654.2729,1188.5446,3129.3419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,25.0,27.0
신정6동,0.96,16255.9813,773.0575,342.7151,327.9325,321.2578,524.0838,806.8744,975.2151,758.719,667.6587,468.2062,360.5319,814.5124,803.9601,430.0567,391.7669,385.9871,806.2845,1221.3827,1242.0996,795.4819,733.3355,587.512,473.8035,1243.5464,2892.3942,360.5319,814.5124,473.8035,1243.5464,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,7.0
신정7동,1.21,17607.295,799.2934,383.7762,366.5931,400.1279,580.0073,763.5082,1037.6269,763.3133,735.6434,531.2307,403.5627,1056.5947,758.9454,471.0528,457.933,438.1837,704.6549,1018.3814,1207.1685,843.2684,872.2191,736.156,485.8032,1792.2508,3738.2114,403.5627,1056.5947,485.8032,1792.2508,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,12.0
염창동,1.74,27831.487,922.444,507.2748,865.407,1173.7811,1713.1069,1556.4537,1636.447,1150.379,848.9939,664.9205,500.4015,858.1471,913.7206,827.7143,1338.4821,1645.4012,2245.3275,1748.3643,1613.354,1129.725,963.5136,823.6612,653.9769,1530.4898,3543.0153,500.4015,858.1471,653.9769,1530.4898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
