행정동,면적(㎢),총생활인구수,남자15세부터19세생활인구수,남자20세부터24세생활인구수,남자25세부터29세생활인구수,남자30세부터34세생활인구수,남자35세부터39세생활인구수,남자40세부터44세생활인구수,남자45세부터49세생활인구수,남자50세부터54세생활인구수,남자55세부터59세생활인구수,남자60세부터64세생활인구수,남자65세부터69세생활인구수_x,남자70세이상생활인구수_x,여자15세부터19세생활인구수,여자20세부터24세생활인구수,여자25세부터29세생활인구수,여자30세부터34세생활인구수,여자35세부터39세생활인구수,여자40세부터44세생활인구수,여자45세부터49세생활인구수,여자50세부터54세생활인구수,여자55세부터59세생활인구수,여자60세부터64세생활인구수,여자65세부터69세생활인구수_x,여자70세이상생활인구수_x,총 노인 인구수,남자65세부터69세생활인구수_y,남자70세이상생활인구수_y,여자65세부터69세생활인구수_y,여자70세이상생활인구수_y,노인_의료복지시설수,노인_주거복지시설수,장애인_생산품판매시설수,장애인_의료재활시설수,장애인_지역사회재활시설수,장애인_직업재활시설수,노인_여가복지시설수,노인_일자리지원기관수,노인교실수,경로당수,총시설수
송천동,0.9,21952.1994,567.4248,677.8946,632.2818,637.1347,752.8226,897.5701,888.5272,973.1204,1046.3555,881.4503,590.1137,1414.6894,580.3213,807.3217,753.7816,713.8508,1019.8677,882.4529,961.0379,979.2539,1161.7401,983.7756,761.5678,2387.843,5154.2139,590.1137,1414.6894,761.5678,2387.843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0
삼각산동,0.62,19476.1322,750.3004,592.8257,397.7454,422.8727,700.4871,871.9402,1103.4691,910.2011,923.6422,600.6314,392.6429,958.1669,744.3779,688.0748,525.1814,552.648,1002.8439,1084.7032,1339.1964,1179.6428,1033.4622,636.0573,583.1165,1481.9027,3415.829,392.6429,958.1669,583.1165,1481.9027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
우이동,10.28,16217.2091,365.6531,505.6112,406.1806,470.6963,527.1824,591.2324,691.8453,690.5208,808.0791,578.3441,412.5988,1038.2825,441.4247,942.0765,625.6228,501.0623,628.1318,696.696,715.3581,698.5312,938.3725,734.229,601.1665,1608.3111,3660.3589,412.5988,1038.2825,601.1665,1608.3111,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,8.0
인수동,3.28,24614.1467,598.742,586.5185,786.2568,765.718,842.9193,983.6918,1016.359,1020.4291,1165.8584,878.3938,672.481,1631.0911,629.6947,960.6787,965.3438,849.3829,773.1619,955.7797,1089.4277,1123.6304,1250.0007,1204.1454,949.8569,2914.5851,6168.0141,672.481,1631.0911,949.8569,2914.5851,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,7.0,10.0
쌍문1동,1.24,16253.5873,396.8794,483.8167,512.6866,439.8679,567.1787,543.7731,636.2415,666.4177,685.2248,540.0914,448.0404,929.6266,647.3773,1298.0521,692.8384,511.8612,644.5429,568.7748,676.3394,789.562,738.0136,760.9225,569.5089,1505.9494,3453.1253,448.0404,929.6266,569.5089,1505.9494,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,11.0,13.0
쌍문2동,0.54,16372.0823,461.0305,450.7873,558.7133,517.8438,668.6532,632.4293,687.5729,652.8575,724.419,572.3242,442.5686,987.5858,382.2796,526.8271,579.3866,685.4893,700.3468,653.4305,729.4414,706.4242,936.7187,765.6623,662.2185,1687.0719,3779.4448,442.5686,987.5858,662.2185,1687.0719,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,7.0
쌍문3동,0.5,15591.9443,392.9375,424.5287,582.4263,578.2921,659.2749,597.9949,664.335,644.6931,624.4583,488.3855,412.2353,842.1247,551.5075,792.7956,747.4164,557.4426,646.807,570.0765,749.5597,600.148,758.3603,688.2936,576.0392,1441.8116,3272.2108,412.2353,842.1247,576.0392,1441.8116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
쌍문4동,0.52,12022.6897,363.6666,252.8052,314.0612,308.9346,401.2577,507.4992,481.3925,463.0599,502.4197,417.9678,377.056,762.1813,430.8548,320.5167,334.9487,376.3454,489.4981,587.3239,629.9629,609.9722,733.4202,669.6968,484.4582,1203.3901,2827.0856,377.056,762.1813,484.4582,1203.3901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0
방학1동,0.69,20823.1876,567.45,515.0034,731.0973,623.8487,708.6436,838.6797,948.9218,935.1319,1003.7172,836.5231,568.4887,1318.626,588.4013,867.5923,761.4921,687.3136,814.1099,782.464,1020.0164,902.8282,1121.5843,957.7642,719.7602,2003.7297,4610.6046,568.4887,1318.626,719.7602,2003.7297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
방학2동,0.74,10242.8889,278.6471,235.8578,308.7696,317.2368,383.7586,357.4759,392.9693,464.9798,527.5792,493.119,356.1694,730.8928,187.6672,232.9041,311.6139,312.4334,354.6931,349.1881,415.9252,473.7385,538.8049,546.7043,385.0312,1286.7297,2758.8231,356.1694,730.8928,385.0312,1286.7297,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,5.0,8.0
방학3동,2.62,18065.0494,640.4509,421.0898,484.7648,467.7124,623.2384,617.3426,815.8434,727.959,702.9029,627.3409,590.0358,1396.5247,602.9081,436.2679,470.8224,432.281,753.2119,867.5384,900.2377,765.9413,1018.04,852.9653,826.0,2023.6298,4836.1903,590.0358,1396.5247,826.0,2023.6298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,19.0
창1동,0.88,17956.2205,484.5728,557.7283,555.2305,654.4035,810.6356,777.4626,774.2895,755.3232,759.9797,626.4358,437.6556,1007.2743,492.7026,669.34,706.0269,682.224,771.129,730.9868,860.6298,754.9567,934.6663,760.3398,638.0517,1754.1755,3837.1571,437.6556,1007.2743,638.0517,1754.1755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,8.0
창2동,1.05,33658.0618,1205.6795,1473.6644,1151.4485,1247.0212,1246.474,1348.0492,1425.1631,1369.2608,1268.7123,1029.6871,795.5996,1823.311,1046.6262,1664.8857,1495.6469,1393.4593,1570.1897,1355.8641,1522.8549,1372.6132,1656.0496,1377.9086,1047.9882,2769.9047,6436.8035,795.5996,1823.311,1047.9882,2769.9047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0
창3동,0.67,9806.5756,301.3745,231.9376,348.8554,302.3382,309.6103,358.4498,520.452,460.2746,496.6291,390.6925,300.6168,546.7715,248.5588,280.4977,323.0536,348.2773,302.1979,366.9422,504.3459,474.5966,531.505,502.1351,358.9531,997.5101,2203.8515,300.6168,546.7715,358.9531,997.5101,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,8.0
창4동,0.95,25194.8629,761.4517,706.4503,777.374,795.7444,1057.5996,1029.6216,1094.9807,1141.8055,1093.2538,908.125,650.6385,1521.3523,743.0853,889.9927,899.6364,964.8477,1163.5324,1057.0845,1243.2692,1223.0269,1384.364,1097.6839,763.1074,2226.8351,5161.9333,650.6385,1521.3523,763.1074,2226.8351,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,9.0,12.0
창5동,0.7,14267.6208,497.6024,428.8536,497.3298,488.5062,528.8595,595.1928,614.1276,568.3198,555.304,463.243,370.7659,849.3825,410.9828,533.7732,517.6968,634.9738,647.8708,637.1411,646.5292,653.5025,757.2527,660.5038,497.4113,1212.4957,2930.0554,370.7659,849.3825,497.4113,1212.4957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0
도봉1동,8.72,15467.9043,293.1334,440.2947,507.5004,486.8308,529.9008,571.3851,666.259,702.0974,770.9769,666.407,532.6827,1282.4194,253.6508,374.5402,439.1788,463.5238,535.7263,478.0385,581.3022,603.6937,900.0264,753.9377,646.009,1988.3893,4449.5004,532.6827,1282.4194,646.009,1988.3893,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,10.0,13.0
도봉2동,0.83,16732.2813,377.1967,379.3963,488.1808,501.8498,659.3419,590.8066,750.6981,661.6747,772.5607,636.8485,514.3798,1272.4604,453.7327,394.3811,465.6059,568.0566,688.4233,720.8908,765.4342,690.7212,863.0347,813.8309,713.7308,1989.0448,4489.6158,514.3798,1272.4604,713.7308,1989.0448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,14.0
월계1동,1.16,19060.6086,950.9001,2072.7497,986.5167,614.8728,665.7529,633.5542,724.7182,733.2189,686.8166,536.5569,409.788,864.5839,640.6478,1422.327,685.4509,608.4071,612.7121,584.3699,804.2465,690.5644,716.0809,536.9128,532.5482,1346.3121,3153.2322,409.788,864.5839,532.5482,1346.3121,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,16.0,18.0
