행정동,노인_의료복지시설수,노인_주거복지시설수,장애인_생산품판매시설수,장애인_의료재활시설수,장애인_지역사회재활시설수,장애인_직업재활시설수,노인_여가복지시설수,노인_일자리지원기관수,노인교실수,경로당수,총시설수
안암동,0,0,0,0,0,0,0,1,1,6,8
보문동,0,0,0,0,0,0,1,1,0,8,10
정릉1동,0,0,0,0,0,0,0,0,1,12,13
정릉2동,0,0,0,0,0,0,2,0,0,14,16
정릉3동,0,0,0,0,0,0,0,0,0,5,5
정릉4동,0,0,0,0,0,0,0,0,1,11,12
길음1동,0,0,0,0,0,0,0,0,0,15,15
길음2동,0,0,0,0,0,0,0,0,0,7,7
종암동,3,1,0,0,0,0,1,0,0,19,24
월곡1동,0,0,0,0,0,0,0,0,1,10,11
월곡2동,0,0,0,0,0,0,1,0,1,10,12
장위1동,0,0,0,0,0,0,0,0,1,6,7
장위2동,0,0,0,0,0,0,0,0,0,3,3
장위3동,0,0,0,0,0,0,1,0,0,7,8
석관동,1,0,0,0,0,0,1,0,0,9,11
삼양동,0,0,0,0,0,0,0,0,2,0,2
미아동,6,0,0,0,0,0,1,1,1,47,56
송중동,0,0,0,0,0,0,0,0,1,0,1
송천동,0,0,0,0,0,0,0,0,2,0,2
삼각산동,0,0,0,0,0,0,0,0,1,0,1
번1동,0,0,0,0,0,0,0,0,1,6,7
번2동,0,0,0,0,0,0,0,0,2,9,11
번3동,0,0,0,0,0,0,1,0,1,12,14
수유1동,0,0,0,0,0,0,0,0,1,5,6
수유2동,0,0,0,0,0,0,0,0,2,8,10
수유3동,0,0,0,0,0,0,0,0,1,3,4
우이동,1,0,0,0,0,0,0,0,1,6,8
인수동,0,0,0,0,0,0,1,0,2,7,10
창1동,0,0,0,0,0,0,0,0,1,7,8
창2동,0,0,0,0,0,0,0,0,0,9,9
창3동,0,0,0,0,0,0,1,0,1,6,8
창4동,0,0,0,0,0,0,1,1,1,9,12
창5동,0,0,0,0,0,0,0,0,0,14,14
도봉1동,0,0,0,0,0,0,1,0,2,10,13
도봉2동,0,0,0,0,0,0,0,0,1,13,14
쌍문1동,0,0,0,0,0,0,1,0,1,11,13
쌍문2동,0,0,0,0,0,0,1,0,0,6,7
